Player,Team,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast
A. Lacazette,Arsenal,fr FRA,"FW,MF",30,30,20,"1,782",19.8,4,7
O. Watkins,Aston Villa,eng ENG,FW,25,35,33,"2,952",32.8,11,2
E. Buendía,Aston Villa,ar ARG,"FW,MF",24,35,22,"1,899",21.1,4,6
D. Ings,Aston Villa,eng ENG,FW,29,30,22,"1,898",21.1,7,6
Coutinho,Aston Villa,br BRA,"MF,FW",29,19,16,"1,329",14.8,5,3
L. Bailey,Aston Villa,jm JAM,"FW,MF",23,18,7,761,8.5,1,2
B. Traoré,Aston Villa,bf BFA,"MF,FW",25,9,1,220,2.4,0,0
I. Toney,Brentford,eng ENG,FW,25,33,32,"2,909",32.3,12,5
L. Trossard,Brighton & Hove Albion,be BEL,"FW,MF",26,34,32,"2,805",31.2,8,3
N. Maupay,Brighton & Hove Albion,fr FRA,FW,24,32,25,"2,276",25.3,8,2
W. Weghorst,Burnley,nl NED,FW,28,20,17,"1,450",16.1,2,3
M. Mount,Chelsea,eng ENG,"MF,FW",22,32,27,"2,363",26.3,11,10
K. Havertz,Chelsea,de GER,"FW,MF",22,29,22,"1,809",20.1,8,3
R. Lukaku,Chelsea,be BEL,FW,28,26,16,"1,589",17.7,8,0
T. Werner,Chelsea,de GER,"FW,MF",25,21,15,"1,283",14.3,4,1
H. Ziyech,Chelsea,ma MAR,"FW,MF",28,23,14,"1,319",14.7,4,3
C. Pulisic,Chelsea,us USA,"MF,FW",22,22,13,"1,290",14.3,6,2
C. Hudson-Odoi,Chelsea,eng ENG,"FW,MF",20,15,11,962,10.7,1,2
W. Zaha,Crystal Palace,ci CIV,FW,28,33,31,"2,760",30.7,14,1
Richarlison,Everton,br BRA,"FW,MF",24,30,28,"2,523",28,10,5
D. Gray,Everton,eng ENG,"MF,FW",25,34,28,"2,338",26,5,4
D. Calvert-Lewin,Everton,eng ENG,FW,24,17,15,"1,283",14.3,5,2
Rodrigo,Leeds United,es ESP,"MF,FW",30,31,27,"2,265",25.2,6,1
P. Bamford,Leeds United,eng ENG,FW,27,9,7,559,6.2,2,2
H. Barnes,Leicester City,eng ENG,"FW,MF",23,32,24,"2,101",23.3,6,10
J. Vardy,Leicester City,eng ENG,FW,34,25,20,"1,806",20.1,15,2
K. Iheanacho,Leicester City,ng NGA,FW,24,26,13,"1,264",14,4,5
P. Daka,Leicester City,zm ZAM,FW,22,23,13,"1,159",12.9,5,3
S. Mané,Liverpool,sn SEN,FW,29,34,32,"2,819",31.3,16,2
M. Salah,Liverpool,eg EGY,FW,29,35,30,"2,762",30.7,23,13
L. Díaz,Liverpool,co COL,FW,24,13,11,958,10.6,4,3
T. Minamino,Liverpool,jp JPN,"FW,MF",26,11,1,186,2.1,3,0
D. Origi,Liverpool,be BEL,FW,26,7,0,133,1.5,3,0
P. Foden,Manchester City,eng ENG,FW,21,28,24,"2,128",23.6,9,5
R. Sterling,Manchester City,eng ENG,FW,26,30,23,"2,128",23.6,13,5
J. Grealish,Manchester City,eng ENG,FW,25,26,22,"1,914",21.3,3,3
Gabriel Jesus,Manchester City,br BRA,FW,24,28,21,"1,877",20.9,8,8
R. Mahrez,Manchester City,dz ALG,FW,30,28,15,"1,498",16.6,11,5
Cristiano Ronaldo,Manchester United,pt POR,FW,36,30,27,"2,456",27.3,18,3
J. Sancho,Manchester United,eng ENG,"FW,MF",21,29,20,"1,900",21.1,3,3
Diogo Dalot,Manchester United,pt POR,DF,22,24,19,"1,801",20,0,0
M. Rashford,Manchester United,eng ENG,"FW,MF",23,25,13,"1,235",13.7,4,2
E. Cavani,Manchester United,uy URU,FW,34,15,7,766,8.5,2,1
D. James,Manchester United,wls WAL,FW,23,2,2,126,1.4,0,0
A. Saint-Maximin,Newcastle United,fr FRA,"FW,MF",24,35,31,"2,804",31.2,5,5
C. Wilson,Newcastle United,eng ENG,FW,29,18,16,"1,386",15.4,8,0
C. Wood,Newcastle United,nz NZL,FW,29,17,15,"1,327",14.7,2,0
H. Kane,Tottenham Hotspur,eng ENG,FW,28,37,36,"3,232",35.9,17,9
H. Son,Tottenham Hotspur,kr KOR,"FW,MF",29,35,35,"3,006",33.4,23,7
Lucas Moura,Tottenham Hotspur,br BRA,"FW,MF",28,34,19,"1,775",19.7,2,6
D. Kulusevski,Tottenham Hotspur,se SWE,"MF,FW",21,18,14,"1,261",14,5,8
S. Bergwijn,Tottenham Hotspur,nl NED,"FW,MF",23,25,4,565,6.3,3,1
I. Sarr,Watford,sn SEN,"FW,MF",23,22,21,"1,861",20.7,5,2
J. Bowen,West Ham United,eng ENG,FW,24,36,34,"2,983",33.1,12,10
M. Antonio,West Ham United,jm JAM,FW,31,36,34,"2,971",33,10,8
R. Jiménez,Wolverhampton Wanderers,mx MEX,FW,30,34,30,"2,631",29.2,6,4
Hwang Hee chan,Wolverhampton Wanderers,kr KOR,"FW,MF",25,30,20,"1,816",20.2,5,1
Daniel Podence,Wolverhampton Wanderers,pt POR,"FW,MF",25,26,15,"1,484",16.5,2,3
Pedro Neto,Wolverhampton Wanderers,pt POR,"FW,MF",21,13,5,466,5.2,1,1
